timestamp_utc,zone,price_eur_mwh,resolution_min
2025-01-24T00:00:00Z,AT,129.98,15
2025-01-24T00:00:00Z,AT,115.09,60
2025-01-24T00:00:00Z,BE,60.21,60
2025-01-24T00:00:00Z,CH,125.56,60
2025-01-24T00:00:00Z,DE-LU,69.00,15
2025-01-24T00:00:00Z,DE-LU,58.16,60
2025-01-24T00:00:00Z,DK1,40.00,60
2025-01-24T00:00:00Z,DK2,39.99,60
2025-01-24T00:00:00Z,EE,24.30,60
2025-01-24T00:00:00Z,ES,88.74,60
2025-01-24T00:00:00Z,FI,21.45,60
2025-01-24T00:00:00Z,FR,63.05,60
2025-01-24T00:00:00Z,GR,110.34,60
2025-01-24T00:00:00Z,HR,107.64,60
2025-01-24T00:00:00Z,HU,112.91,60
2025-01-24T00:00:00Z,IT-CNorth,128.00,15
2025-01-24T00:00:00Z,IT-CSouth,128.00,15
2025-01-24T00:00:00Z,IT-North,128.00,15
2025-01-24T00:00:00Z,IT-Sardinia,128.00,15
2025-01-24T00:00:00Z,IT-Sicily,128.00,15
2025-01-24T00:00:00Z,IT-South,128.00,15
2025-01-24T00:00:00Z,LT,24.30,60
2025-01-24T00:00:00Z,LV,24.30,60
2025-01-24T00:00:00Z,NL,58.53,60
2025-01-24T00:00:00Z,NO1,36.63,60
2025-01-24T00:00:00Z,NO2,36.47,60
2025-01-24T00:00:00Z,NO3,7.88,60
2025-01-24T00:00:00Z,NO4,3.30,60
2025-01-24T00:00:00Z,NO5,33.49,60
2025-01-24T00:00:00Z,PL,83.91,60
2025-01-24T00:00:00Z,PT,88.74,60
2025-01-24T00:00:00Z,RO,110.34,60
2025-01-24T00:00:00Z,RS,118.88,15
2025-01-24T00:00:00Z,SE1,17.49,60
2025-01-24T00:00:00Z,SE2,20.59,60
2025-01-24T00:00:00Z,SE3,23.76,60
2025-01-24T00:00:00Z,SE4,25.07,60
2025-01-24T00:00:00Z,SI,106.75,60
2025-01-24T00:00:00Z,SK,115.83,60
2025-01-24T00:15:00Z,AT,132.35,15
2025-01-24T00:15:00Z,DE-LU,60.00,15
2025-01-24T00:30:00Z,AT,102.58,15
2025-01-24T00:30:00Z,DE-LU,55.10,15
2025-01-24T00:45:00Z,AT,80.01,15
2025-01-24T00:45:00Z,DE-LU,60.23,15
2025-01-24T01:00:00Z,AT,122.46,15
2025-01-24T01:00:00Z,AT,120.00,60
2025-01-24T01:00:00Z,BE,45.62,60
2025-01-24T01:00:00Z,CH,123.95,60
2025-01-24T01:00:00Z,CZ,85.90,60
2025-01-24T01:00:00Z,DE-LU,57.44,15
2025-01-24T01:00:00Z,DE-LU,45.05,60
2025-01-24T01:00:00Z,DK1,41.54,60
2025-01-24T01:00:00Z,DK2,41.53,60
2025-01-24T01:00:00Z,EE,25.00,60
2025-01-24T01:00:00Z,ES,82.03,60
2025-01-24T01:00:00Z,FI,21.33,60
2025-01-24T01:00:00Z,FR,48.60,60
2025-01-24T01:00:00Z,GR,104.35,60
2025-01-24T01:00:00Z,HR,102.50,60
2025-01-24T01:00:00Z,HU,107.00,60
2025-01-24T01:00:00Z,IT-CNorth,126.00,15
2025-01-24T01:00:00Z,IT-CSouth,126.00,15
2025-01-24T01:00:00Z,IT-North,126.00,15
2025-01-24T01:00:00Z,IT-Sardinia,126.00,15
2025-01-24T01:00:00Z,IT-Sicily,126.00,15
2025-01-24T01:00:00Z,IT-South,126.00,15
2025-01-24T01:00:00Z,LT,25.00,60
2025-01-24T01:00:00Z,LV,25.00,60
2025-01-24T01:00:00Z,NL,44.24,60
2025-01-24T01:00:00Z,NO1,36.30,60
2025-01-24T01:00:00Z,NO2,36.19,60
2025-01-24T01:00:00Z,NO3,8.01,60
2025-01-24T01:00:00Z,NO5,33.16,60
2025-01-24T01:00:00Z,PL,82.58,60
2025-01-24T01:00:00Z,PT,82.03,60
2025-01-24T01:00:00Z,RO,104.35,60
2025-01-24T01:00:00Z,RS,106.92,15
2025-01-24T01:00:00Z,SE1,17.42,60
2025-01-24T01:00:00Z,SE2,20.50,60
2025-01-24T01:00:00Z,SE3,23.61,60
2025-01-24T01:00:00Z,SE4,24.91,60
2025-01-24T01:00:00Z,SI,102.30,60
2025-01-24T01:00:00Z,SK,108.36,60
