timestamp_utc,zone,price_eur_mwh,resolution_min
2022-04-24T00:00:00Z,AT,123.99,60
2022-04-24T00:00:00Z,BE,84.54,60
2022-04-24T00:00:00Z,CH,161.03,60
2022-04-24T00:00:00Z,CZ,91.92,60
2022-04-24T00:00:00Z,DE-LU,91.92,60
2022-04-24T00:00:00Z,DK1,91.92,60
2022-04-24T00:00:00Z,DK2,91.92,60
2022-04-24T00:00:00Z,EE,32.56,60
2022-04-24T00:00:00Z,ES,112.99,60
2022-04-24T00:00:00Z,FI,32.56,60
2022-04-24T00:00:00Z,FR,136.36,60
2022-04-24T00:00:00Z,GR,274.29,60
2022-04-24T00:00:00Z,HR,123.99,60
2022-04-24T00:00:00Z,HU,123.99,60
2022-04-24T00:00:00Z,IT-CNorth,226.48,60
2022-04-24T00:00:00Z,IT-CSouth,226.48,60
2022-04-24T00:00:00Z,IT-North,226.48,60
2022-04-24T00:00:00Z,IT-Sardinia,226.48,60
2022-04-24T00:00:00Z,IT-Sicily,226.48,60
2022-04-24T00:00:00Z,IT-South,226.48,60
2022-04-24T00:00:00Z,LT,32.56,60
2022-04-24T00:00:00Z,LV,32.56,60
2022-04-24T00:00:00Z,NL,103.83,60
2022-04-24T00:00:00Z,NO1,100.50,60
2022-04-24T00:00:00Z,NO2,100.50,60
2022-04-24T00:00:00Z,NO3,32.56,60
2022-04-24T00:00:00Z,NO4,13.39,60
2022-04-24T00:00:00Z,NO5,100.50,60
2022-04-24T00:00:00Z,PL,91.92,60
2022-04-24T00:00:00Z,PT,112.99,60
2022-04-24T00:00:00Z,RO,123.99,60
2022-04-24T00:00:00Z,RS,114.00,60
2022-04-24T00:00:00Z,SE1,32.56,60
2022-04-24T00:00:00Z,SE2,32.56,60
2022-04-24T00:00:00Z,SE3,32.56,60
2022-04-24T00:00:00Z,SE4,32.56,60
2022-04-24T00:00:00Z,SI,123.99,60
2022-04-24T00:00:00Z,SK,91.92,60
2022-04-24T01:00:00Z,AT,115.19,60
2022-04-24T01:00:00Z,BE,86.79,60
2022-04-24T01:00:00Z,CH,124.29,60
2022-04-24T01:00:00Z,CZ,87.88,60
2022-04-24T01:00:00Z,DE-LU,87.88,60
2022-04-24T01:00:00Z,DK1,87.88,60
2022-04-24T01:00:00Z,DK2,87.88,60
2022-04-24T01:00:00Z,EE,33.78,60
2022-04-24T01:00:00Z,ES,108.45,60
2022-04-24T01:00:00Z,FI,33.78,60
2022-04-24T01:00:00Z,FR,108.45,60
2022-04-24T01:00:00Z,GR,274.29,60
2022-04-24T01:00:00Z,HR,115.19,60
2022-04-24T01:00:00Z,HU,115.19,60
2022-04-24T01:00:00Z,IT-CNorth,222.27,60
2022-04-24T01:00:00Z,IT-CSouth,222.27,60
2022-04-24T01:00:00Z,IT-North,222.27,60
2022-04-24T01:00:00Z,IT-Sardinia,222.27,60
2022-04-24T01:00:00Z,IT-Sicily,222.27,60
2022-04-24T01:00:00Z,IT-South,222.27,60
2022-04-24T01:00:00Z,LT,33.78,60
2022-04-24T01:00:00Z,LV,33.78,60
2022-04-24T01:00:00Z,NL,93.69,60
2022-04-24T01:00:00Z,NO1,90.70,60
2022-04-24T01:00:00Z,NO2,90.70,60
2022-04-24T01:00:00Z,NO3,33.78,60
2022-04-24T01:00:00Z,NO4,13.38,60
2022-04-24T01:00:00Z,NO5,90.70,60
2022-04-24T01:00:00Z,PL,87.88,60
2022-04-24T01:00:00Z,PT,108.45,60
2022-04-24T01:00:00Z,RO,115.19,60
2022-04-24T01:00:00Z,RS,105.16,60
2022-04-24T01:00:00Z,SE1,33.78,60
2022-04-24T01:00:00Z,SE2,33.78,60
2022-04-24T01:00:00Z,SE3,33.78,60
2022-04-24T01:00:00Z,SE4,33.78,60
2022-04-24T01:00:00Z,SI,115.19,60
2022-04-24T01:00:00Z,SK,87.88,60
