timestamp_utc,zone,price_eur_mwh,resolution_min
2022-09-24T00:00:00Z,AT,352.61,15
2022-09-24T00:00:00Z,AT,312.03,60
2022-09-24T00:00:00Z,BE,312.03,60
2022-09-24T00:00:00Z,CH,353.62,60
2022-09-24T00:00:00Z,CZ,312.03,60
2022-09-24T00:00:00Z,DE-LU,320.57,15
2022-09-24T00:00:00Z,DE-LU,312.03,60
2022-09-24T00:00:00Z,DK1,312.03,60
2022-09-24T00:00:00Z,DK2,312.03,60
2022-09-24T00:00:00Z,EE,60.06,60
2022-09-24T00:00:00Z,ES,127.93,60
2022-09-24T00:00:00Z,FI,60.06,60
2022-09-24T00:00:00Z,FR,312.03,60
2022-09-24T00:00:00Z,GR,365.00,60
2022-09-24T00:00:00Z,HR,312.03,60
2022-09-24T00:00:00Z,HU,312.03,60
2022-09-24T00:00:00Z,IT-CNorth,365.00,60
2022-09-24T00:00:00Z,IT-CSouth,365.00,60
2022-09-24T00:00:00Z,IT-North,365.00,60
2022-09-24T00:00:00Z,IT-Sardinia,365.00,60
2022-09-24T00:00:00Z,IT-Sicily,365.00,60
2022-09-24T00:00:00Z,IT-South,365.00,60
2022-09-24T00:00:00Z,LT,312.03,60
2022-09-24T00:00:00Z,LV,312.03,60
2022-09-24T00:00:00Z,NL,312.03,60
2022-09-24T00:00:00Z,NO1,304.43,60
2022-09-24T00:00:00Z,NO2,304.43,60
2022-09-24T00:00:00Z,NO3,60.06,60
2022-09-24T00:00:00Z,NO4,21.90,60
2022-09-24T00:00:00Z,NO5,304.43,60
2022-09-24T00:00:00Z,PL,180.78,60
2022-09-24T00:00:00Z,PT,127.93,60
2022-09-24T00:00:00Z,RO,312.03,60
2022-09-24T00:00:00Z,RS,354.97,60
2022-09-24T00:00:00Z,SE1,60.06,60
2022-09-24T00:00:00Z,SE2,60.06,60
2022-09-24T00:00:00Z,SE3,60.06,60
2022-09-24T00:00:00Z,SE4,60.06,60
2022-09-24T00:00:00Z,SI,312.03,60
2022-09-24T00:00:00Z,SK,312.03,60
