timestamp_utc,zone,price_eur_mwh,resolution_min
2023-11-04T00:00:00Z,AT,42.84,15
2023-11-04T00:00:00Z,AT,32.06,60
2023-11-04T00:00:00Z,BE,32.06,60
2023-11-04T00:00:00Z,CZ,32.06,60
2023-11-04T00:00:00Z,DE-LU,59.92,15
2023-11-04T00:00:00Z,DE-LU,32.06,60
2023-11-04T00:00:00Z,ES,2.00,60
2023-11-04T00:00:00Z,FR,32.06,60
2023-11-04T00:00:00Z,HU,32.06,60
2023-11-04T00:00:00Z,IT-North,32.06,60
2023-11-04T00:00:00Z,NL,32.06,60
2023-11-04T00:00:00Z,PL,35.90,60
2023-11-04T00:00:00Z,SI,32.06,60
2023-11-04T00:00:00Z,SK,32.06,60
2023-11-04T00:15:00Z,AT,24.03,15
2023-11-04T00:15:00Z,DE-LU,34.24,15
2023-11-04T00:30:00Z,AT,17.84,15
2023-11-04T00:30:00Z,DE-LU,17.00,15
2023-11-04T00:45:00Z,AT,12.38,15
2023-11-04T00:45:00Z,DE-LU,9.30,15
2023-11-04T01:00:00Z,AT,26.38,15
2023-11-04T01:00:00Z,AT,30.00,60
2023-11-04T01:00:00Z,BE,30.00,60
2023-11-04T01:00:00Z,CZ,30.00,60
2023-11-04T01:00:00Z,DE-LU,25.00,15
2023-11-04T01:00:00Z,DE-LU,30.00,60
2023-11-04T01:00:00Z,ES,1.20,60
2023-11-04T01:00:00Z,FR,30.00,60
2023-11-04T01:00:00Z,HU,30.00,60
2023-11-04T01:00:00Z,IT-North,30.00,60
2023-11-04T01:00:00Z,NL,30.00,60
2023-11-04T01:00:00Z,PL,30.00,60
2023-11-04T01:00:00Z,SI,30.00,60
2023-11-04T01:00:00Z,SK,30.00,60
2023-11-04T01:15:00Z,AT,18.72,15
2023-11-04T01:15:00Z,DE-LU,23.60,15
2023-11-04T01:30:00Z,AT,19.07,15
2023-11-04T01:30:00Z,DE-LU,19.09,15
2023-11-04T01:45:00Z,AT,18.37,15
2023-11-04T01:45:00Z,DE-LU,18.79,15
2023-11-04T02:00:00Z,AT,17.84,15
2023-11-04T02:00:00Z,AT,22.01,60
2023-11-04T02:00:00Z,BE,22.01,60
2023-11-04T02:00:00Z,CZ,22.01,60
2023-11-04T02:00:00Z,DE-LU,11.30,15
2023-11-04T02:00:00Z,DE-LU,22.01,60
2023-11-04T02:00:00Z,ES,1.62,60
2023-11-04T02:00:00Z,FR,22.01,60
2023-11-04T02:00:00Z,HU,22.01,60
2023-11-04T02:00:00Z,IT-North,22.01,60
2023-11-04T02:00:00Z,NL,22.01,60
2023-11-04T02:00:00Z,PL,30.32,60
2023-11-04T02:00:00Z,SI,22.01,60
2023-11-04T02:00:00Z,SK,22.01,60
2023-11-04T02:15:00Z,AT,15.62,15
2023-11-04T02:15:00Z,DE-LU,15.40,15
2023-11-04T02:30:00Z,AT,17.84,15
2023-11-04T02:30:00Z,DE-LU,5.01,15
2023-11-04T02:45:00Z,DE-LU,19.90,15
2023-11-04T03:00:00Z,AT,12.56,15
2023-11-04T03:00:00Z,AT,19.19,60
2023-11-04T03:00:00Z,BE,19.19,60
2023-11-04T03:00:00Z,CZ,19.19,60
2023-11-04T03:00:00Z,DE-LU,5.08,15
2023-11-04T03:00:00Z,DE-LU,19.19,60
2023-11-04T03:00:00Z,ES,1.19,60
2023-11-04T03:00:00Z,FR,19.19,60
2023-11-04T03:00:00Z,HU,19.19,60
2023-11-04T03:00:00Z,IT-North,20.00,60
2023-11-04T03:00:00Z,NL,19.19,60
2023-11-04T03:00:00Z,PL,29.08,60
2023-11-04T03:00:00Z,SI,19.19,60
2023-11-04T03:00:00Z,SK,19.19,60
2023-11-04T03:15:00Z,AT,17.84,15
2023-11-04T03:15:00Z,DE-LU,22.80,15
2023-11-04T03:30:00Z,AT,16.00,15
2023-11-04T03:30:00Z,DE-LU,9.95,15
2023-11-04T03:45:00Z,AT,35.14,15
2023-11-04T03:45:00Z,DE-LU,7.46,15
2023-11-04T04:00:00Z,AT,11.80,15
2023-11-04T04:00:00Z,AT,15.40,60
2023-11-04T04:00:00Z,BE,15.40,60
2023-11-04T04:00:00Z,CZ,15.40,60
2023-11-04T04:00:00Z,DE-LU,-17.40,15
2023-11-04T04:00:00Z,DE-LU,15.40,60
2023-11-04T04:00:00Z,ES,1.00,60
2023-11-04T04:00:00Z,FR,15.40,60
2023-11-04T04:00:00Z,HU,15.40,60
2023-11-04T04:00:00Z,IT-North,30.00,60
2023-11-04T04:00:00Z,NL,15.40,60
2023-11-04T04:00:00Z,PL,33.51,60
2023-11-04T04:00:00Z,SI,15.40,60
2023-11-04T04:00:00Z,SK,15.40,60
2023-11-04T04:15:00Z,AT,16.07,15
2023-11-04T04:15:00Z,DE-LU,12.72,15
2023-11-04T04:30:00Z,AT,42.84,15
2023-11-04T04:30:00Z,DE-LU,19.97,15
2023-11-04T04:45:00Z,AT,43.85,15
2023-11-04T04:45:00Z,DE-LU,44.96,15
2023-11-04T05:00:00Z,AT,17.06,15
2023-11-04T05:00:00Z,AT,16.13,60
2023-11-04T05:00:00Z,BE,16.13,60
2023-11-04T05:00:00Z,CZ,16.13,60
2023-11-04T05:00:00Z,DE-LU,4.98,15
2023-11-04T05:00:00Z,DE-LU,16.13,60
2023-11-04T05:00:00Z,ES,1.50,60
2023-11-04T05:00:00Z,FR,16.13,60
2023-11-04T05:00:00Z,HU,16.13,60
2023-11-04T05:00:00Z,IT-North,88.35,60
2023-11-04T05:00:00Z,NL,16.13,60
2023-11-04T05:00:00Z,PL,29.86,60
2023-11-04T05:00:00Z,SI,16.13,60
2023-11-04T05:00:00Z,SK,16.13,60
2023-11-04T05:15:00Z,AT,36.54,15
2023-11-04T05:15:00Z,DE-LU,17.48,15
2023-11-04T05:30:00Z,AT,45.16,15
2023-11-04T05:30:00Z,DE-LU,41.28,15
2023-11-04T05:45:00Z,AT,46.00,15
2023-11-04T05:45:00Z,DE-LU,64.80,15
2023-11-04T06:00:00Z,AT,23.66,15
2023-11-04T06:00:00Z,AT,25.08,60
2023-11-04T06:00:00Z,BE,25.08,60
2023-11-04T06:00:00Z,CZ,25.08,60
2023-11-04T06:00:00Z,DE-LU,3.92,15
2023-11-04T06:00:00Z,DE-LU,25.08,60
2023-11-04T06:00:00Z,ES,1.40,60
2023-11-04T06:00:00Z,FR,25.08,60
2023-11-04T06:00:00Z,HU,25.08,60
2023-11-04T06:00:00Z,IT-North,118.94,60
2023-11-04T06:00:00Z,NL,25.08,60
2023-11-04T06:00:00Z,PL,45.57,60
2023-11-04T06:00:00Z,SI,25.08,60
2023-11-04T06:00:00Z,SK,25.08,60
2023-11-04T06:15:00Z,AT,42.84,15
2023-11-04T06:15:00Z,DE-LU,47.41,15
2023-11-04T06:30:00Z,AT,61.72,15
2023-11-04T06:30:00Z,DE-LU,44.94,15
2023-11-04T06:45:00Z,AT,72.00,15
2023-11-04T06:45:00Z,DE-LU,34.97,15
2023-11-04T07:00:00Z,AT,42.84,15
