timestamp_utc,zone,price_eur_mwh,resolution_min
2024-04-02T00:00:00Z,AT,35.96,15
2024-04-02T00:00:00Z,AT,1.82,60
2024-04-02T00:00:00Z,BE,5.65,60
2024-04-02T00:00:00Z,CZ,1.07,60
2024-04-02T00:00:00Z,DE-LU,15.07,15
2024-04-02T00:00:00Z,DE-LU,0.61,60
2024-04-02T00:00:00Z,FR,3.25,60
2024-04-02T00:00:00Z,HU,1.27,60
2024-04-02T00:00:00Z,IT-North,60.00,60
2024-04-02T00:00:00Z,NL,16.46,60
2024-04-02T00:00:00Z,PL,60.53,60
2024-04-02T00:00:00Z,SI,1.92,60
2024-04-02T00:00:00Z,SK,0.94,60
2024-04-02T00:15:00Z,AT,34.91,15
2024-04-02T00:15:00Z,DE-LU,10.04,15
2024-04-02T00:30:00Z,AT,17.49,15
2024-04-02T00:30:00Z,DE-LU,10.07,15
2024-04-02T00:45:00Z,AT,14.96,15
2024-04-02T00:45:00Z,DE-LU,7.56,15
2024-04-02T01:00:00Z,AT,39.91,15
2024-04-02T01:00:00Z,AT,1.36,60
2024-04-02T01:00:00Z,BE,2.76,60
2024-04-02T01:00:00Z,CZ,1.05,60
2024-04-02T01:00:00Z,DE-LU,7.57,15
2024-04-02T01:00:00Z,DE-LU,0.87,60
2024-04-02T01:00:00Z,ES,1.63,60
2024-04-02T01:00:00Z,FR,1.63,60
2024-04-02T01:00:00Z,HU,1.13,60
2024-04-02T01:00:00Z,IT-North,46.13,60
2024-04-02T01:00:00Z,NL,7.54,60
2024-04-02T01:00:00Z,PL,62.67,60
2024-04-02T01:00:00Z,SI,1.41,60
2024-04-02T01:00:00Z,SK,0.97,60
2024-04-02T01:15:00Z,AT,22.43,15
2024-04-02T01:15:00Z,DE-LU,10.07,15
2024-04-02T01:30:00Z,AT,19.94,15
2024-04-02T01:45:00Z,AT,19.98,15
2024-04-02T01:45:00Z,DE-LU,12.58,15
2024-04-02T02:00:00Z,AT,9.89,15
2024-04-02T02:00:00Z,AT,2.12,60
2024-04-02T02:00:00Z,BE,1.96,60
2024-04-02T02:00:00Z,CZ,1.81,60
2024-04-02T02:00:00Z,DE-LU,5.06,15
2024-04-02T02:00:00Z,DE-LU,1.94,60
2024-04-02T02:00:00Z,ES,2.00,60
2024-04-02T02:00:00Z,FR,2.00,60
2024-04-02T02:00:00Z,HU,1.87,60
2024-04-02T02:00:00Z,IT-North,50.00,60
2024-04-02T02:00:00Z,NL,1.94,60
2024-04-02T02:00:00Z,PL,66.15,60
2024-04-02T02:00:00Z,SI,2.55,60
2024-04-02T02:00:00Z,SK,1.41,60
2024-04-02T02:15:00Z,AT,19.92,15
2024-04-02T02:15:00Z,DE-LU,10.06,15
2024-04-02T02:30:00Z,AT,27.48,15
2024-04-02T02:30:00Z,DE-LU,15.08,15
2024-04-02T02:45:00Z,AT,75.10,15
2024-04-02T02:45:00Z,DE-LU,25.08,15
2024-04-02T03:00:00Z,AT,-9.74,15
2024-04-02T03:00:00Z,AT,7.38,60
2024-04-02T03:00:00Z,BE,7.28,60
2024-04-02T03:00:00Z,CZ,7.19,60
2024-04-02T03:00:00Z,DE-LU,-12.49,15
2024-04-02T03:00:00Z,DE-LU,7.27,60
2024-04-02T03:00:00Z,ES,3.25,60
2024-04-02T03:00:00Z,FR,7.29,60
2024-04-02T03:00:00Z,HU,7.21,60
2024-04-02T03:00:00Z,IT-North,69.95,60
2024-04-02T03:00:00Z,NL,7.27,60
2024-04-02T03:00:00Z,PL,67.76,60
2024-04-02T03:00:00Z,SI,7.63,60
2024-04-02T03:00:00Z,SK,6.95,60
2024-04-02T03:15:00Z,AT,10.23,15
2024-04-02T03:15:00Z,DE-LU,-4.94,15
2024-04-02T03:30:00Z,AT,44.97,15
2024-04-02T03:30:00Z,DE-LU,25.03,15
2024-04-02T03:45:00Z,AT,86.95,15
2024-04-02T03:45:00Z,DE-LU,102.49,15
2024-04-02T04:00:00Z,AT,5.15,15
2024-04-02T04:00:00Z,AT,54.57,60
2024-04-02T04:00:00Z,BE,35.33,60
2024-04-02T04:00:00Z,CZ,56.61,60
2024-04-02T04:00:00Z,DE-LU,10.09,15
2024-04-02T04:00:00Z,DE-LU,57.22,60
2024-04-02T04:00:00Z,ES,20.00,60
2024-04-02T04:00:00Z,FR,25.98,60
2024-04-02T04:00:00Z,HU,55.31,60
2024-04-02T04:00:00Z,IT-North,87.60,60
2024-04-02T04:00:00Z,NL,51.32,60
2024-04-02T04:00:00Z,PL,76.88,60
2024-04-02T04:00:00Z,SI,53.65,60
2024-04-02T04:00:00Z,SK,55.77,60
2024-04-02T04:15:00Z,AT,39.91,15
2024-04-02T04:15:00Z,DE-LU,52.78,15
2024-04-02T04:30:00Z,AT,77.49,15
2024-04-02T04:30:00Z,DE-LU,97.41,15
2024-04-02T04:45:00Z,AT,97.43,15
2024-04-02T04:45:00Z,DE-LU,55.09,15
2024-04-02T05:00:00Z,AT,35.43,15
2024-04-02T05:00:00Z,AT,71.32,60
2024-04-02T05:00:00Z,BE,59.97,60
2024-04-02T05:00:00Z,CZ,73.96,60
2024-04-02T05:00:00Z,DE-LU,92.41,15
2024-04-02T05:00:00Z,DE-LU,74.36,60
2024-04-02T05:00:00Z,ES,35.00,60
2024-04-02T05:00:00Z,FR,47.42,60
2024-04-02T05:00:00Z,HU,73.09,60
2024-04-02T05:00:00Z,IT-North,95.00,60
2024-04-02T05:00:00Z,NL,70.98,60
2024-04-02T05:00:00Z,PL,76.03,60
2024-04-02T05:00:00Z,SI,70.91,60
